,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Revenue2021_12,Quarter_Operating_Profit2021_12,Quarter_Cashflow2021_12,Quarter_Earn2021_12,Quarter_Continue_Earn2021_12,Quarter_Percent_Operating_Profit2021_12,Quarter_Percent_Cashflow2021_12,Quarter_Percent_Earn2021_12,Quarter_Full_EPS,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Last_Revenue2020_12,Last_Operating_Profit2020_12,Last_Cashflow2020_12,Last_Earn2020_12,Last_Continue_Earn2020_12,Last_Percent_Operating_Profit2020_12,Last_Percent_Cashflow2020_12,Last_Percent_Earn2020_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before,Quarter_Top_Stock_Price,Recent_Market_Gun,Quarter_Per,Last_Top_Stock_Price,Fake_Last_Per,Real_Last_Per,Price_Percent_Change,Price_Percent_Change_Three_Year,Price_Percent_Compare_Old_Biggest_Now,Old_Top_Stock_Price_Date,Price_Percent_Change_Year,Price_Percent_Compare_Last_Bigget_Now,Last_Top_Stock_Price_Date
0,7700,KOSPI,F&F홀딩스,기타 금융업,"스포츠웨어(골프웨어) 제조/도서출판(단행본,유아/아동전집류(아인슈타인시리즈),잡지)/이천고속도로휴게소/문구사무용품,수입의류 판매,소매",1984-10-04,12월,박의헌,http://www.fnfholdings.com,서울특별시,2022-08-16,39113363.0,438218951041.0,136578277681.0,124396487465.0,28170737144.0,95169185323.0,31.17,28.39,6.43,565069842756.0,173484001819.0,182059076555.0,40920338768.0,123963100976.0,30.7,32.22,7.24,2880.0,8011589603.0,1390583663.0,84249778243.0,56511719844.0,2088643476.0,17.36,1051.6,705.37,5903880644.0,-1109310990.0,121898661910.0,49195255143.0,168480087893.0,-18.79,2064.72,833.27,5776.0,727126345365.0,223050455460.0,279947856820.0,1912061597858.0,48885.0,64050.0,59169.0,3.72,65.65,4.5,82.62,13.810000000000002,49.489999999999995,5369.812768204023,218.04055509181737,19800,774444587400,6.88,51300,8.88,1.05,3.37,226.09,354.55,2021-05-20,158.61,159.09,2021-08-20
1,11200,KOSPI,HMM,해상 운송업,"정기,부정기,전용선,콘테이너선,자동차선,LNG선 해운",1995-10-05,12월,배재훈,http://www.hmm21.com,서울특별시,2022-08-10,489121783.0,4918670000000.0,3148609000000.0,3185430000000.0,3131708000000.0,0.0,64.01,64.76,63.67,4443041000000.0,2698529000000.0,2739542000000.0,2672685000000.0,0.0,60.74,61.66,60.15,25608.0,2428039000000.0,1019289000000.0,1113921000000.0,154072000000.0,0.0,41.98,45.88,6.35,2006532000000.0,567015000000.0,605636000000.0,136794000000.0,0.0,28.26,30.18,6.82,1256.0,13794148000000.0,7377522000000.0,7505033000000.0,5337056000000.0,10911.0,32821.0,21177.0,52.47,29.86,78.02,51.52,22.03000000000001,32.480000000000004,102.57788280995486,1850.2517283186567,24950,12203588485850,0.97,42000,33.44,3.85,4.41,1325.35,102.81,2021-05-27,70.07,68.34,2021-09-01
2,10060,KOSPI,OCI,기초 화학물질 제조업,"타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매",1985-07-09,12월,"백우석, 이우현, 김택중(3인, 각자 대표이사)",http://www.oci.co.kr,서울특별시,2022-08-12,23849712.0,1006076445000.0,162009377000.0,75882589000.0,134500216000.0,134158696000.0,16.1,7.54,13.37,1014153917000.0,218035700000.0,-15946799000.0,287578346000.0,289482909000.0,21.5,-1.57,28.36,22556.0,573677884000.0,47018557000.0,22302035000.0,38002120000.0,39757436000.0,8.2,3.89,6.62,564231511000.0,32975178000.0,-127092384000.0,-160043461000.0,742151690000.0,5.84,-22.52,-28.36,6372.0,3243996752000.0,625984935000.0,377690582000.0,647647565000.0,27155.0,148296.0,130978.0,8.47,11.35,15.21,20.73,7.900000000000002,15.66,75.37305743513724,2133.8971277768205,125500,2993138856000,5.56,161000,25.27,5.93,10.63,190.72,28.29,2021-10-05,57.92,28.29,2021-10-05
3,9160,KOSPI,SIMPAC,특수 목적용 기계 제조업,"프레스,자동화장치,자동차부품 제조,도매",1989-07-29,12월,최진식,http://www.simpac.co.kr,인천광역시,2022-08-12,65428156.0,197012100101.0,49760729972.0,55207255390.0,39315015202.0,0.0,25.26,28.02,19.96,232853504863.0,52165318710.0,29588509205.0,35105408817.0,0.0,22.4,12.71,15.08,2400.0,97965365499.0,9422148336.0,1706272441.0,10998325306.0,0.0,9.62,1.74,11.23,104765312043.0,487877995.0,-8253827481.0,26419377208.0,0.0,0.47,-7.88,25.22,672.0,613012779571.0,106401536463.0,63747132643.0,90832862627.0,1388.0,9323.0,8355.0,16.69,10.06,25.74,16.62,15.640000000000002,21.93,101.10382796766173,3844.0754124940604,6790,444257179240,2.83,9470,14.09,6.82,5.9,292.95,39.47,2021-09-29,52.25,39.47,2021-09-29
4,5320,KOSPI,국동,생활용품 도매업,"셔츠,스웨터,파자마(섬유제품) 제조,판매,수출/부동산 임대",1996-12-24,12월,오창규,http://www.kd.co.kr,서울특별시,2022-08-12,55209784.0,70554779462.0,1454841260.0,-6883771205.0,1239465989.0,0.0,2.06,-9.76,1.76,68198692514.0,643249617.0,7658791685.0,-2205129443.0,0.0,0.94,11.23,-3.23,88.0,42992963743.0,-3014185035.0,-16888130956.0,-1684866069.0,0.0,-7.01,-39.28,-3.92,45257809160.0,-7654653031.0,-9179124553.0,-12353263292.0,0.0,-16.91,-20.28,-27.3,-120.0,226961774057.0,-3587448466.0,-25316836611.0,-7948938059.0,-143.0,1962.0,1854.0,2.84,-4.72,4.49,-7.77,9.07,17.85,64.10773605596692,-96.60116596625421,1825,100757855800,20.74,3900,-32.5,-27.27,2.23,225.52,173.97,2021-01-28,112.65,113.7,2021-08-12
5,25860,KOSPI,남해화학,"비료, 농약 및 살균, 살충제 제조업","비료(요소,복합비료),공업제품원료 제조,도매",1995-11-10,12월,하형수,http://www.nhchem.co.kr,서울특별시,2022-08-16,49676409.0,601271342022.0,47865764201.0,-155044093863.0,36299879650.0,0.0,7.96,-25.79,6.04,403936869690.0,12287667489.0,-43133557174.0,14424217318.0,0.0,3.04,-10.68,3.57,2920.0,306380261404.0,3125649236.0,-68464471447.0,2914284044.0,0.0,1.02,-22.35,0.95,214435100222.0,-4900592923.0,36406531550.0,-2840239002.0,0.0,-2.29,16.98,-1.32,232.0,1451884407283.0,20481749724.0,-118071166535.0,21664019600.0,436.0,10621.0,9493.0,14.49,3.01,27.49,4.59,6.9399999999999995,5.33,96.25002579038534,605.1552234372754,10050,499247910450,3.44,16450,70.91,37.73,2.76,108.23,63.68,2022-04-19,72.94,63.68,2022-04-19
6,9190,KOSPI,대양금속,1차 철강 제조업,스테인레스 냉연강판 제조,1994-04-29,12월,조상종,http://www.daiyangmetal.co.kr,충청남도,2022-08-10,32356411.0,68951947165.0,10188800396.0,3341020178.0,9458549049.0,0.0,14.78,4.85,13.72,61667182915.0,6165811811.0,4403276020.0,6982357358.0,0.0,10.0,7.14,11.32,1168.0,39572005485.0,1323518721.0,-401030881.0,1859419189.0,0.0,3.34,-1.01,4.7,33623832119.0,-537549745.0,1693716902.0,-1805220765.0,0.0,-1.6,5.04,-5.37,228.0,203423901636.0,15188009078.0,-5352046822.0,15243418346.0,471.0,3714.0,3077.0,20.95,9.68,31.44,15.31,11.44,11.6,74.24425757531202,-89.07058863024047,4110,132984849210,3.52,6140,26.93,13.04,11.96,451.43,369.59,2019-09-25,53.12,49.39,2021-09-06
7,3490,KOSPI,대한항공,항공 여객 운송업,"여객운송,화물운송,항공기 제조,판매,정비수리/기내식 제조판매,면세품 판매",1966-03-18,12월,"조원태, 우기홍",http://www.koreanair.com,서울특별시,2022-08-12,368209374.0,2884257098465.0,773092247067.0,1119316939574.0,532619942734.0,0.0,26.8,38.81,18.47,2907512024751.0,703747775508.0,1170521469827.0,409561527973.0,411767341044.0,24.2,40.26,14.09,5784.0,1792816354047.0,100973038995.0,510574675134.0,-53651166071.0,0.0,5.63,28.48,-2.99,1909996038608.0,117062091289.0,426859996928.0,426659604520.0,1233122169559.0,6.13,22.35,22.34,-580.0,9016824640301.0,1417968632826.0,3514195624777.0,577683539995.0,1568.0,21374.0,18646.0,7.68,2.17,27.06,8.41,21.17,18.07,60.878558027108845,-80.95209742049992,26200,9647085598800,4.53,34250,-59.05,21.84,4.8,139.53,31.68,2021-06-11,31.53,30.73,2021-09-27
8,1550,KOSPI,조비,"비료, 농약 및 살균, 살충제 제조업","복합비료(연초용,수도용,시판용,특수작물용),양액재배용 비료,완효성 비료,부직포 제조,무역",1976-12-28,12월,이승연,http://www.chobi.co.kr,서울특별시,2022-08-16,5192317.0,43685817343.0,9568259374.0,-25064093152.0,8239538843.0,0.0,21.9,-57.37,18.86,18304148960.0,770097670.0,-5942655737.0,606852836.0,0.0,4.21,-32.47,3.32,6344.0,19799064371.0,1486964068.0,-12140422957.0,1440691068.0,0.0,7.51,-61.32,7.28,7963157130.0,-424772026.0,3900590418.0,-225021153.0,0.0,-5.33,48.98,-2.83,1108.0,84597515362.0,3077405830.0,-7973100192.0,1851220426.0,356.0,12028.0,10257.0,21.95,1.78,52.74,3.48,14.389999999999999,9.54,120.64586752385785,-19.23785958036342,20450,106182882650,3.22,28200,25.45,79.21,4.5,104.62,62.59,2021-08-03,42.78,37.9,2021-10-20
9,18470,KOSPI,조일알미늄,1차 비철금속 제조업,"알루미늄판 제조,도매",1988-11-22,12월,"이영호,성원모",http://www.choilal.co.kr,경상북도,2022-08-16,125848716.0,165996555138.0,20788313368.0,-18694878454.0,19050156792.0,0.0,12.52,-11.26,11.48,143122873248.0,8602267124.0,-25280431785.0,8556670430.0,0.0,6.01,-17.66,5.98,604.0,96997441966.0,3101993129.0,-8567502856.0,2513219411.0,0.0,3.2,-8.83,2.59,90854922030.0,207619232.0,528609614.0,-429271388.0,0.0,0.23,0.58,-0.47,76.0,466932503112.0,18279237886.0,-28053513184.0,15675523934.0,124.0,1788.0,1325.0,18.09,4.51,33.77,9.39,9.32,5.779999999999999,71.13498229797224,36.612844897800215,2240,281901123840,3.71,3441,45.28,27.75,6.12,503.68,53.62,2021-09-08,98.1,53.62,2021-09-08
