,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2021_12,Quarter_Operating_Profit2021_12,Quarter_Cashflow2021_12,Quarter_Earn2021_12,Quarter_Continue_Earn2021_12,Quarter_Percent_Operating_Profit2021_12,Quarter_Percent_Cashflow2021_12,Quarter_Percent_Earn2021_12,Quarter_Revenue2021_9,Quarter_Operating_Profit2021_9,Quarter_Cashflow2021_9,Quarter_Earn2021_9,Quarter_Continue_Earn2021_9,Quarter_Percent_Operating_Profit2021_9,Quarter_Percent_Cashflow2021_9,Quarter_Percent_Earn2021_9,Quarter_Full_EPS,Last_Revenue2020_12,Last_Operating_Profit2020_12,Last_Cashflow2020_12,Last_Earn2020_12,Last_Continue_Earn2020_12,Last_Percent_Operating_Profit2020_12,Last_Percent_Cashflow2020_12,Last_Percent_Earn2020_12,Last_Revenue2020_9,Last_Operating_Profit2020_9,Last_Cashflow2020_9,Last_Earn2020_9,Last_Continue_Earn2020_9,Last_Percent_Operating_Profit2020_9,Last_Percent_Cashflow2020_9,Last_Percent_Earn2020_9,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE
0,60310,KOSDAQ,3S,전자부품 제조업,반도체 웨이퍼 캐리어,2002-04-23,03월,김세완,http://www.3sref.com,서울특별시,2022-02-10,5415791603,-3430394412,-3697328752,-1277720746,0,-63.34,-68.27,-23.59,6642030087,965504290,4568417303,1053488093,0,14.54,68.78,15.86,-108,2856870062,1133851414,1389774599,-93484160,0,39.69,48.65,-3.27,8764498346,137258073,-201219534,194700019,0,1.57,-2.3,2.22,-8,22592015218,467181073,1188555065,-1080358319,-23,799,729,-9.04,-2.18,-13.51,-3.24
1,54620,KOSDAQ,APS홀딩스,기타 금융업,인터넷 트래픽 솔루션,2001-12-04,12월,정기로,http://www.apsholdings.co.kr,경기도,2022-03-23,18331770930,582094795,-2136825340,14687076179,-8043847419,3.18,-11.66,80.12,7692225508,-1067474235,567837330,5502979662,6062061576,-13.88,7.38,71.54,2880,8507283181,-2203513782,-5182538445,-41809759076,744227803,-25.9,-60.92,-491.46,5546334436,-3441501694,-3223438900,5422948168,5353155798,-62.05,-58.12,97.78,-8200,25345952537,-10877059034,-8405977345,-46872920717,-2298,9183,8167,17.42,-17.03,31.36,-28.14
2,265520,KOSDAQ,AP시스템,특수 목적용 기계 제조업,디스플레이 제조 장비,2017-04-07,12월,김영주,http://www.apsystems.co.kr,경기도,2022-03-22,174184896967,19761111040,30060023892,14284196575,0,11.34,17.26,8.2,96038455303,16075283297,33189082140,17570000718,0,16.74,34.56,18.29,3736,178615515889,12457314211,14299927166,649884801,0,6.97,8.01,0.36,163603340915,17070054688,49303639339,11427435667,0,10.43,30.14,6.98,168,591795352612,46277808090,63603566505,24951026992,1632,12534,9041,13.32,6.72,29.8,18.06
3,211270,KOSDAQ,AP위성,통신 및 방송 장비 제조업,위성통신 단말기,2016-03-04,12월,류장수,http://www.apsi.co.kr,서울특별시,2022-03-18,23862679141,3312523603,-466387599,1265847313,0,13.88,-1.95,5.3,4674243838,-763745105,-1038882384,702083258,0,-16.34,-22.23,15.02,332,19551936394,4038407679,4281703447,-2431294707,0,20.65,21.9,-12.44,7536818534,102347181,11225775152,-47931179,0,1.36,148.95,-0.64,-644,45379281619,4376442736,15507478599,-1361421642,-90,5371,5292,4.51,-1.21,6.18,-1.7
4,32790,KOSDAQ,BNGT,기계장비 및 관련 물품 도매업,"Bio 이종장기 사업, ICT 프린터 현상기",1997-06-26,12월,조상환,http://www.mgenplus.com,서울특별시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,13720,KOSDAQ,CBI,자동차 신품 부품 제조업,엔진부품,1993-12-29,12월,오경원,http://www.cheongbo.co.kr,인천광역시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,35760,KOSDAQ,CJ ENM,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타",1999-11-23,12월,"Minho Hou, Ho Sung Kang",http://www.cjmall.com,서울특별시,2022-03-21,995048320194,29636482077,178092855365,21155709516,227562448542,2.98,17.9,2.13,857538906969,87820812566,604125765883,66868898488,0,10.24,70.45,7.8,3856,944270288497,87912814095,261394031684,-32488778022,227562448542,9.31,27.68,-3.44,798620132304,71049057636,305018733141,28622777060,0,8.9,38.19,3.58,-5924,3391184002869,272067865192,566412764825,56926322621,2595,191659,172594,1.06,0.91,2.01,1.5
7,311690,KOSDAQ,CJ 바이오사이언스,자연과학 및 공학 연구개발업,"생명정보 플랫폼, 마이크로바이옴 분석 서비스",2019-12-26,12월,천종식,http://www.cjbioscience.com,서울특별시,2022-03-21,663873496,-2497759475,-2677180917,-6395457593,0,-376.24,-403.27,-963.35,1057230037,-2522557507,-5760087017,-2669398480,0,-238.6,-544.83,-252.49,-4352,1880816937,-1753972029,765742700,-2051619388,0,-93.26,40.71,-109.08,1267127198,-2236342857,-8744201527,-2269082482,0,-176.49,-690.08,-179.07,-1396,5311546768,-8513222577,-7978458827,-8762586953,-1491,14956,5870,-21.97,-11.94,-29.1,-25.41
8,51500,KOSDAQ,CJ프레시웨이,음·식료품 및 담배 도매업,"식자재유통, 단체급식",2001-07-26,12월,정성필,http://www.cjfreshway.com,경기도,2022-03-18,606720666425,17041414483,29341815815,5012437059,0,2.81,4.84,0.83,562932512260,16382751881,111268807407,17356131929,0,2.91,19.77,3.08,1688,600267391639,-5464016646,58621519382,-15574391264,0,-0.91,9.77,-2.59,651314105433,11823076246,67629720292,-4228958778,0,1.82,10.38,-0.65,-5248,2478528727709,-3545694413,126251239674,-42517696613,-3581,28865,24114,1.65,-3.79,5.85,-14.85
9,58820,KOSDAQ,CMG제약,의약품 제조업,의약품,2001-08-31,12월,이주형,http://www.cmgpharma.co.kr,서울특별시,2022-03-17,17864389154,-87829632,57357786,177141206,177141206,-0.49,0.32,0.99,18510847798,1062257904,5571262147,1763119347,1763119347,5.74,30.1,9.52,4,16858568864,495912640,-4844599191,-2458798269,491690392,2.94,-28.74,-14.58,17108427333,653604910,7788887820,569408432,569408432,3.82,45.53,3.33,-68,64459891270,1822364992,2944288629,214996493,1,1329,1304,0.28,0.11,0.3,0.12
